Pokémon Name,Ability 1,Ability 2
LUCARIO,Iron Fist,Adaptability
HIPPOPOTAS,Sand Stream,Thick Fat
HIPPOWDON,Sand Stream,Thick Fat
SKORUPI,Sand Veil,Sniper
DRAPION,Sand Veil,Hyper Cutter
CROAGUNK,Dry Skin,Dry Skin
TOXICROAK,Dry Skin,Dry Skin
CARNIVINE,Chlorophyll,Levitate
FINNEON,Swift Swim,Chlorophyll
LUMINEON,Swift Swim,Chlorophyll
MANTYKE,Swift Swim,Swift Swim
SNOVER,Snow Warning,Adaptability
ABOMASNOW,Snow Warning,Adaptability
WEAVILE,Technician,Inner Focus
MAGNEZONE,Levitate,Magnet Pull
LICKILICKY,Poison Heal,Guts
RHYPERIOR,Solid Rock,Solid Rock
TANGROWTH,Magic Guard,Unaware
ELECTIVIRE,Adaptability,-
MAGMORTAR,Flame Body,Flame Body
TOGEKISS,Serene Grace,Serene Grace
LEAFEON,Magic Guard,Natural Cure
GLISCOR,Sand Veil,Sand Veil
MAMOSWINE,Thick Fat,Thick Fat
PORYGON-Z,Download,Download
GALLADE,Hyper Cutter,Hyper Cutter
PROBOPASS,Solid Rock,Solid Rock
DUSKNOIR,Levitate,-
MESPRIT,Magic Guard,-
REGIGIGAS,Clear Body,-
Deoxys (A),Magic Guard,-
Deoxys (D),Magic Guard,-
Deoxys (S),Magic Guard,-
Wormadam (S),Snow Cloak,-
Wormadam (T),Snow Cloak,-
