Name,HP,Atk,Def,SpA,SpD,Spe,Type1,Type2,Ability1,Ability2,WeightHg,FemaleThreshold,ExpRate
Camerupt,90,100,80,105,85,40,Fire,Ground,Drought,Solid Rock,2200,127,MEDIUM_FAST
Carnivine,74,105,72,100,72,70,Grass,,Chlorophyll,Levitate,270,127,SLOW
Carvanha,45,90,20,65,20,65,Water,Dark,Rough Skin,,208,127,SLOW
Cascoon,50,35,55,25,55,15,Bug,,Shed Skin,Shed Skin,115,127,MEDIUM_FAST
Castform,70,70,75,110,75,100,Normal,,Forecast,,8,127,MEDIUM_FAST
Caterpie,45,30,35,20,20,45,Bug,,Tinted Lens,,29,127,MEDIUM_FAST
Celebi,100,100,100,100,100,100,Psychic,Grass,Natural Cure,,50,255,MEDIUM_SLOW
Chansey,250,5,25,35,105,50,Normal,,Natural Cure,Natural Cure,346,254,FAST
Charizard,78,84,78,110,85,100,Fire,Flying,Solar Power,Blaze,905,31,MEDIUM_SLOW
Charmander,39,52,43,60,50,65,Fire,,Blaze,Blaze,85,31,MEDIUM_SLOW
Charmeleon,58,64,58,80,65,80,Fire,,Blaze,Blaze,190,31,MEDIUM_SLOW
Chatot,76,91,45,102,42,110,Normal,Flying,Scrappy,Scrappy,19,127,MEDIUM_SLOW
Cherrim,70,87,90,87,98,85,Grass,,Flower Gift,,93,127,MEDIUM_FAST
Cherubi,45,35,45,62,53,35,Grass,,Chlorophyll,,33,127,MEDIUM_FAST
Chikorita,45,49,65,49,65,45,Grass,,Overgrow,,64,31,MEDIUM_SLOW
Chimchar,44,58,44,58,44,61,Fire,,Blaze,Blaze,62,31,MEDIUM_SLOW
Chimecho,65,50,70,105,85,75,Psychic,,Levitate,,10,127,FAST
Chinchou,75,38,38,56,56,67,Water,Electric,Volt Absorb,Volt Absorb,120,127,SLOW
Chingling,45,30,50,65,50,45,Psychic,,Levitate,,6,127,FAST
Clamperl,35,64,85,74,55,32,Water,,Shell Armor,,525,127,ERRATIC
Claydol,80,80,105,80,120,80,Ground,Psychic,Levitate,,1080,255,MEDIUM_FAST
Clefable,95,70,73,95,90,65,Normal,,Magic Guard,Magic Guard,400,191,FAST
Clefairy,70,45,48,60,65,35,Normal,,Magic Guard,Magic Guard,75,191,FAST
Cleffa,50,25,28,45,55,15,Normal,,Magic Guard,Cute Charm,30,191,FAST
Cloyster,50,95,180,85,75,70,Water,Ice,Filter,Shell Armor,1325,127,SLOW
Combee,30,50,42,50,42,70,Bug,Flying,Honey Gather,,55,31,MEDIUM_SLOW
Combusken,60,85,60,85,60,55,Fire,Fighting,Blaze,,195,31,MEDIUM_SLOW
Corphish,43,80,65,50,35,35,Water,,Adaptability,Hyper Cutter,115,127,FLUCTUATING
Corsola,65,95,105,65,105,35,Water,Rock,Solid Rock,Solid Rock,50,191,FAST
Cradily,86,81,97,81,107,43,Rock,Grass,Solid Rock,,604,31,ERRATIC
Cranidos,67,125,50,10,40,58,Rock,,Rock Head,Mold Breaker,315,31,ERRATIC
Crawdaunt,63,120,85,90,55,55,Water,Dark,Adaptability,Hyper Cutter,328,127,FLUCTUATING
Cresselia,120,70,120,75,130,85,Psychic,,Levitate,,856,254,SLOW
Croagunk,48,61,40,61,40,50,Poison,Fighting,Dry Skin,Dry Skin,230,127,MEDIUM_FAST
Crobat,85,90,80,70,80,130,Poison,Flying,Inner Focus,,750,127,MEDIUM_FAST
Croconaw,65,80,80,59,63,58,Water,,Torrent,Torrent,250,31,MEDIUM_SLOW
Cubone,50,50,95,40,50,35,Ground,,Lightning Rod,Rock Head,65,127,MEDIUM_FAST
Cyndaquil,39,52,43,60,50,65,Fire,,Blaze,,79,31,MEDIUM_SLOW
Darkrai,70,90,90,135,90,125,Dark,,Bad Dreams,,505,255,SLOW
Delcatty,70,80,75,80,75,112,Normal,,Cute Charm,Cute Charm,326,191,FAST
Delibird,45,85,45,85,45,85,Ice,Flying,Adaptability,Adaptability,160,127,FAST
Deoxys,90,150,70,150,70,150,Psychic,,Magic Guard,,608,255,SLOW
Deoxys-Attack,90,200,20,200,20,150,Psychic,,Magic Guard,,608,255,SLOW
Deoxys-Defense,90,100,150,100,150,90,Psychic,,Magic Guard,,608,255,SLOW
Deoxys-Speed,90,100,100,100,100,190,Psychic,,Magic Guard,,608,255,SLOW
Dewgong,90,70,80,70,95,70,Water,Ice,Swift Swim,Ice Body,1200,127,MEDIUM_FAST
Dialga,100,120,120,150,100,90,Steel,Dragon,Pressure,,6830,255,SLOW
Diglett,10,55,25,35,45,95,Ground,,Arena Trap,Arena Trap,8,127,MEDIUM_FAST
Ditto,100,100,100,100,100,100,Normal,,Shadow Tag,,40,255,MEDIUM_FAST
Dodrio,70,120,70,60,60,110,Normal,Flying,Quick Feet,Tangled Feet,852,127,MEDIUM_FAST
Doduo,35,85,45,35,35,75,Normal,Flying,Tangled Feet,Tangled Feet,392,127,MEDIUM_FAST
Donphan,95,120,130,55,60,50,Ground,,Battle Armor,,1200,127,MEDIUM_FAST
Dragonair,61,84,65,70,70,70,Dragon,,Drizzle,Shed Skin,165,127,SLOW
Dragonite,91,134,95,100,100,85,Dragon,Flying,Thick Fat,Thick Fat,2100,127,SLOW
Drapion,70,90,110,60,75,95,Poison,Dark,Sand Veil,Hyper Cutter,615,127,SLOW
Dratini,41,64,45,50,50,50,Dragon,,Shed Skin,Shed Skin,33,127,SLOW
Drifblim,150,80,44,90,54,80,Ghost,Flying,Unburden,Unburden,150,127,FLUCTUATING
Drifloon,90,50,34,60,44,70,Ghost,Flying,Unburden,Unburden,12,127,FLUCTUATING
Drowzee,60,48,45,43,90,42,Psychic,,Bad Dreams,Bad Dreams,324,127,MEDIUM_FAST
Dugtrio,35,100,50,50,70,120,Ground,,Arena Trap,Arena Trap,333,127,MEDIUM_FAST
Dunsparce,100,90,80,85,80,55,Normal,,Serene Grace,Serene Grace,140,127,MEDIUM_FAST
Dusclops,75,90,130,40,130,25,Ghost,,Pressure,,306,127,FAST
Dusknoir,105,100,135,35,135,45,Ghost,,Levitate,,1066,127,FAST
Duskull,40,40,90,40,90,25,Ghost,,Levitate,,150,127,FAST
Dustox,60,50,70,70,90,65,Bug,Poison,Tinted Lens,Shield Dust,316,127,MEDIUM_FAST
Eevee,55,55,50,45,65,55,Normal,,Adaptability,Adaptability,65,31,MEDIUM_FAST
Ekans,35,60,44,40,54,55,Poison,,Intimidate,Intimidate,69,127,MEDIUM_FAST
Electabuzz,65,87,57,95,85,105,Electric,,Static,,300,63,MEDIUM_FAST
Electivire,75,123,67,95,85,105,Electric,,Adaptability,,1386,63,MEDIUM_FAST
Electrike,40,45,40,65,40,65,Electric,,Lightning Rod,Lightning Rod,152,127,SLOW
Electrode,60,50,70,80,80,140,Electric,,Aftermath,Aftermath,666,255,MEDIUM_FAST
Elekid,45,63,37,65,55,95,Electric,,Static,,235,63,MEDIUM_FAST
Empoleon,84,111,93,86,101,60,Water,Steel,Swift Swim,Torrent,845,31,MEDIUM_SLOW
Entei,115,135,85,90,75,100,Fire,,Pressure,,1980,255,SLOW
Espeon,65,65,60,130,95,110,Psychic,,Synchronize,Synchronize,265,31,MEDIUM_FAST
Exeggcute,60,40,80,60,45,40,Grass,Psychic,Chlorophyll,,25,127,SLOW
Exeggutor,95,95,85,125,85,55,Grass,Psychic,Chlorophyll,,1200,127,SLOW
Exploud,104,101,73,101,73,78,Normal,,Scrappy,Soundproof,840,127,MEDIUM_SLOW
Farfetch'd,52,95,85,58,82,65,Normal,Flying,Super Luck,Scrappy,150,127,MEDIUM_FAST
Fearow,65,110,75,61,61,100,Normal,Flying,Sniper,,380,127,MEDIUM_FAST
Feebas,20,15,20,10,55,80,Water,,Swift Swim,,74,127,ERRATIC
Feraligatr,85,125,100,64,85,81,Water,,Intimidate,Battle Armor,888,31,MEDIUM_SLOW
Finneon,49,49,56,49,61,66,Water,,Swift Swim,Chlorophyll,70,127,ERRATIC
Flaaffy,70,55,55,80,60,45,Electric,,Static,,133,127,MEDIUM_SLOW
Flareon,65,130,60,95,110,65,Fire,,Adaptability,Adaptability,250,31,MEDIUM_FAST
Floatzel,85,105,55,85,50,115,Water,,Swift Swim,,335,127,MEDIUM_FAST
Flygon,80,100,80,110,80,100,Ground,Dragon,Sand Stream,Levitate,820,127,MEDIUM_SLOW
Forretress,75,90,140,60,90,40,Bug,Steel,Heatproof,,1258,127,MEDIUM_FAST
Froslass,80,80,70,110,70,110,Ice,Ghost,Snow Cloak,Snow Cloak,266,254,MEDIUM_FAST
Furret,85,86,64,45,55,90,Normal,,Adaptability,Adaptability,325,127,MEDIUM_FAST
Gabite,68,90,65,50,55,82,Dragon,Ground,Sand Veil,Shed Skin,560,127,SLOW
Gallade,68,125,65,65,115,80,Psychic,Fighting,Hyper Cutter,Steadfast,520,0,SLOW
Garchomp,108,130,95,85,85,102,Dragon,Ground,Sand Veil,Rough Skin,950,127,SLOW
Gardevoir,68,65,65,135,115,80,Psychic,,Magic Guard,Trace,484,127,SLOW
Gastly,30,35,30,100,35,80,Ghost,Poison,Levitate,,1,127,MEDIUM_SLOW
Gastrodon,111,83,68,92,82,39,Water,Ground,Dry Skin,Dry Skin,299,127,MEDIUM_FAST
Gengar,60,65,60,130,75,110,Ghost,Poison,Shadow Tag,,405,127,MEDIUM_SLOW
Geodude,55,80,110,30,30,20,Rock,Ground,Rock Head,Rough Skin,200,127,MEDIUM_SLOW
Gible,58,70,45,40,45,42,Dragon,Ground,Sand Veil,Rough Skin,205,127,SLOW
Girafarig,85,100,70,110,70,85,Normal,Psychic,Quick Feet,Quick Feet,415,127,MEDIUM_FAST
Giratina,150,100,120,100,120,90,Ghost,Dragon,Pressure,,7500,255,SLOW
Giratina-Origin,150,120,100,120,100,90,Ghost,Dragon,Levitate,,6500,255,SLOW
Glaceon,65,60,110,130,95,65,Ice,,Snow Cloak,Ice Body,259,31,MEDIUM_FAST
Glalie,80,80,80,100,80,100,Ice,,Solid Rock,Ice Body,2565,127,MEDIUM_FAST
Glameow,49,55,42,42,37,85,Normal,,Limber,Limber,39,191,FAST
Gligar,65,75,105,35,65,85,Ground,Flying,Sand Veil,Sand Veil,648,127,MEDIUM_SLOW
Gliscor,75,95,125,45,75,95,Ground,Flying,Sand Veil,Sand Veil,425,127,MEDIUM_SLOW
Gloom,60,65,70,85,75,40,Grass,Poison,Chlorophyll,,86,127,MEDIUM_SLOW
Golbat,75,80,70,65,75,90,Poison,Flying,Inner Focus,,550,127,MEDIUM_FAST
Goldeen,45,67,60,35,50,63,Water,,Swift Swim,Swift Swim,150,127,MEDIUM_FAST
Golduck,80,82,78,95,80,85,Water,,Swift Swim,Swift Swim,766,127,MEDIUM_FAST
Golem,85,130,140,55,65,45,Rock,Ground,Shell Armor,Shell Armor,3000,127,MEDIUM_SLOW
Gorebyss,55,84,105,114,75,52,Water,,Swift Swim,,226,127,ERRATIC
Granbull,90,120,75,60,60,45,Normal,,Intimidate,Intimidate,487,191,FAST
Graveler,75,110,130,45,65,45,Rock,Ground,Rock Head,Rough Skin,1050,127,MEDIUM_SLOW
Grimer,80,80,50,40,75,25,Poison,,Aftermath,Aftermath,300,127,MEDIUM_FAST
Grotle,75,89,85,55,65,36,Grass,,Leaf Guard,Shell Armor,970,31,MEDIUM_SLOW
Groudon,100,150,140,100,90,90,Ground,,Drought,,9500,255,SLOW
Grovyle,50,65,45,85,65,95,Grass,,Overgrow,,216,31,MEDIUM_SLOW
Growlithe,55,70,45,70,50,60,Fire,,Intimidate,Intimidate,190,63,SLOW
Grumpig,80,75,65,90,110,80,Psychic,,Thick Fat,Own Tempo,715,127,FAST
Gulpin,70,43,53,43,53,40,Poison,,Gluttony,Gluttony,103,127,FLUCTUATING
Gyarados,95,125,79,75,100,81,Water,Flying,Intimidate,,2350,127,SLOW
Happiny,100,5,5,15,65,30,Normal,,Natural Cure,Serene Grace,244,254,FAST
Hariyama,144,120,60,40,60,50,Fighting,,Guts,Guts,2538,63,FLUCTUATING
Haunter,60,50,60,115,75,110,Ghost,Poison,Levitate,,1,127,MEDIUM_SLOW
Heatran,91,90,106,130,106,77,Fire,Steel,Flash Fire,,4300,127,SLOW
Heracross,80,125,75,40,95,85,Bug,Fighting,Guts,Guts,540,127,SLOW
Hippopotas,68,72,78,38,42,32,Ground,,Sand Stream,Thick Fat,495,127,SLOW
Hippowdon,108,112,118,68,72,47,Ground,,Sand Stream,Thick Fat,3000,127,SLOW
Hitmonchan,50,105,79,35,110,76,Fighting,,Scrappy,Scrappy,502,0,MEDIUM_FAST
Hitmonlee,50,120,53,35,110,87,Fighting,,Quick Feet,Quick Feet,498,0,MEDIUM_FAST
Hitmontop,50,95,95,35,110,70,Fighting,,Technician,Technician,480,0,MEDIUM_FAST
Ho-Oh,106,130,90,110,154,90,Fire,Flying,Magic Guard,,1990,255,SLOW
Honchkrow,100,125,62,100,62,91,Dark,Flying,Super Luck,Super Luck,273,127,MEDIUM_SLOW
Hoothoot,60,36,30,36,56,50,Normal,Flying,Insomnia,Insomnia,212,127,MEDIUM_FAST
Hoppip,35,35,40,35,55,50,Grass,Flying,Chlorophyll,Chlorophyll,5,127,MEDIUM_SLOW
Horsea,30,40,70,70,25,60,Water,,Swift Swim,Swift Swim,80,127,MEDIUM_FAST
Houndoom,75,90,50,120,80,105,Dark,Fire,Solar Power,Solar Power,350,127,SLOW
Houndour,45,60,30,80,50,65,Dark,Fire,Solar Power,Solar Power,108,127,SLOW
Huntail,55,114,105,84,75,52,Water,,Swift Swim,,270,127,ERRATIC
Hypno,85,93,70,93,115,67,Psychic,,Bad Dreams,Bad Dreams,756,127,MEDIUM_FAST
Igglybuff,90,45,20,45,25,20,Normal,,Cute Charm,,10,191,FAST
Illumise,65,77,55,73,75,85,Bug,,Tinted Lens,Tinted Lens,177,254,FLUCTUATING
Infernape,77,104,71,104,71,108,Fire,Fighting,Iron Fist,Blaze,550,31,MEDIUM_SLOW
Ivysaur,60,62,63,80,80,60,Grass,Poison,Overgrow,Overgrow,130,31,MEDIUM_SLOW
Jigglypuff,115,45,38,60,55,20,Normal,,Aftermath,,55,191,FAST
Jirachi,100,100,100,100,100,100,Steel,Psychic,Serene Grace,,11,255,SLOW
Jolteon,65,65,60,110,95,130,Electric,,Static,Rough Skin,245,31,MEDIUM_FAST
Jumpluff,75,55,70,55,85,110,Grass,Flying,Chlorophyll,Chlorophyll,30,127,MEDIUM_SLOW
Jynx,65,50,57,115,113,95,Ice,Psychic,Snow Cloak,Snow Cloak,406,254,MEDIUM_FAST
Kabuto,30,80,90,55,45,55,Rock,Water,Swift Swim,Battle Armor,115,31,MEDIUM_FAST
Kabutops,60,115,105,65,70,80,Rock,Water,Swift Swim,Battle Armor,405,31,MEDIUM_FAST
Kadabra,55,35,45,120,85,120,Psychic,,Magic Guard,Inner Focus,565,63,MEDIUM_SLOW
Kakuna,45,25,50,25,55,35,Bug,Poison,Shed Skin,,100,127,MEDIUM_FAST
Kangaskhan,105,95,80,40,80,90,Normal,,Scrappy,Scrappy,800,254,MEDIUM_FAST
Kecleon,65,90,135,60,135,40,Normal,,Adaptability,Color Change,220,127,MEDIUM_SLOW
Kingdra,75,95,95,95,95,85,Water,Dragon,Swift Swim,Swift Swim,1520,127,MEDIUM_FAST
Kingler,55,130,115,50,50,75,Water,,Swift Swim,Hyper Cutter,600,127,MEDIUM_FAST
Kirlia,38,35,35,65,55,50,Psychic,,Trace,Trace,202,127,SLOW
Koffing,40,65,95,60,45,35,Poison,,Levitate,,10,127,MEDIUM_FAST
Krabby,30,105,90,25,25,50,Water,,Hyper Cutter,Hyper Cutter,65,127,MEDIUM_FAST
Kricketot,37,25,41,25,41,25,Bug,,Shed Skin,,22,127,MEDIUM_SLOW
Kricketune,77,85,51,55,51,65,Bug,,Hyper Cutter,,255,127,MEDIUM_SLOW
Kyogre,100,100,90,150,140,90,Water,,Drizzle,,3520,255,SLOW
Lairon,60,90,140,50,50,40,Steel,Rock,Rock Head,Rock Head,1200,127,SLOW
Lanturn,125,58,58,76,76,67,Water,Electric,Volt Absorb,Volt Absorb,225,127,SLOW
Lapras,130,95,80,95,95,60,Water,Ice,Serene Grace,Shell Armor,2200,127,SLOW
Larvitar,50,64,50,45,50,41,Rock,Ground,Guts,Guts,720,127,SLOW
Latias,80,80,90,110,130,110,Dragon,Psychic,Levitate,,400,254,SLOW
Latios,80,90,80,130,110,110,Dragon,Psychic,Levitate,,600,0,SLOW
Leafeon,65,110,130,60,65,95,Grass,,Magic Guard,Natural Cure,255,31,MEDIUM_FAST
Ledian,55,85,50,55,110,85,Bug,Flying,Iron Fist,Iron Fist,356,127,FAST
Ledyba,40,50,30,40,80,55,Bug,Flying,Swarm,Swarm,108,127,FAST
Lickilicky,110,85,95,80,95,50,Normal,,Poison Heal,Guts,1400,127,MEDIUM_FAST
Lickitung,90,60,75,60,75,30,Normal,,Gluttony,Gluttony,655,127,MEDIUM_FAST
Lileep,66,41,77,61,87,23,Rock,Grass,Solid Rock,,238,31,ERRATIC
Linoone,78,70,61,50,61,100,Normal,,Gluttony,Gluttony,325,127,MEDIUM_FAST
Lombre,60,50,50,60,70,50,Water,Grass,Swift Swim,Rain Dish,325,127,MEDIUM_SLOW
Lopunny,65,86,84,54,116,105,Normal,,Scrappy,Scrappy,333,127,MEDIUM_FAST
Lotad,40,30,30,40,50,30,Water,Grass,Swift Swim,Rain Dish,26,127,MEDIUM_SLOW
Loudred,84,71,43,71,43,48,Normal,,Scrappy,Soundproof,405,127,MEDIUM_SLOW
Lucario,70,110,70,115,70,90,Fighting,Steel,Iron Fist,Adaptability,540,31,MEDIUM_SLOW
Ludicolo,80,70,70,90,100,70,Water,Grass,Swift Swim,Rain Dish,550,127,MEDIUM_SLOW
Lugia,106,90,130,90,154,110,Psychic,Flying,Filter,,2160,255,SLOW
Lumineon,69,85,76,75,86,91,Water,,Swift Swim,Chlorophyll,240,127,ERRATIC
Lunatone,90,55,75,95,85,70,Rock,Psychic,Levitate,,1680,255,FAST
Luvdisc,43,30,55,40,65,97,Water,,Swift Swim,,87,191,FAST
Luxio,60,85,49,60,49,60,Electric,,Hyper Cutter,Hyper Cutter,305,127,MEDIUM_SLOW
Luxray,80,120,79,70,79,95,Electric,,Tinted Lens,Reckless,420,127,MEDIUM_SLOW
Machamp,90,140,80,65,85,55,Fighting,,No Guard,No Guard,1300,63,MEDIUM_SLOW
Machoke,80,55,70,50,70,45,Fighting,,Huge Power,Huge Power,705,63,MEDIUM_SLOW
Machop,70,75,50,35,35,35,Fighting,,No Guard,No Guard,195,63,MEDIUM_SLOW
Magby,45,75,37,70,55,83,Fire,,Flame Body,,214,63,MEDIUM_FAST
Magcargo,70,80,120,109,100,30,Fire,Rock,Drought,Solid Rock,550,127,MEDIUM_FAST
Magikarp,20,10,55,15,20,80,Water,,Swift Swim,,100,127,SLOW
Magmar,65,95,57,100,85,93,Fire,,Flame Body,Flame Body,445,63,MEDIUM_FAST
Magmortar,75,95,67,125,95,93,Fire,,Flame Body,Flame Body,680,63,MEDIUM_FAST
Magnemite,25,35,70,95,55,45,Electric,Steel,Magnet Pull,Magnet Pull,60,255,MEDIUM_FAST
Magneton,50,60,95,120,70,70,Electric,Steel,Magnet Pull,Magnet Pull,600,255,MEDIUM_FAST
Magnezone,70,70,115,130,90,60,Electric,Steel,Levitate,Magnet Pull,1800,255,MEDIUM_FAST
Makuhita,72,60,30,20,30,25,Fighting,,Guts,Guts,864,63,FLUCTUATING
Mamoswine,110,135,80,70,80,80,Ice,Ground,Thick Fat,Thick Fat,2910,127,SLOW
Manaphy,100,100,100,100,100,100,Water,,Hydration,,14,255,SLOW
Manectric,70,75,60,105,60,105,Electric,,Lightning Rod,Lightning Rod,402,127,SLOW
Mankey,40,80,35,35,45,70,Fighting,,Reckless,Reckless,280,127,MEDIUM_FAST
Mantine,85,40,80,80,140,70,Water,Flying,Swift Swim,Swift Swim,2200,127,SLOW
Mantyke,45,20,50,60,120,50,Water,Flying,Swift Swim,Swift Swim,650,127,SLOW
Mareep,55,40,40,65,45,35,Electric,,Static,,78,127,MEDIUM_SLOW
Marill,70,40,50,20,50,40,Water,,Huge Power,Huge Power,85,127,FAST
Marowak,60,80,110,50,80,45,Ground,,Lightning Rod,Rock Head,450,127,MEDIUM_FAST
Marshtomp,70,85,70,60,70,50,Water,Ground,Torrent,Torrent,280,31,MEDIUM_SLOW
Masquerain,70,80,62,100,82,60,Bug,Flying,Intimidate,,36,127,MEDIUM_FAST
Mawile,50,105,85,55,55,50,Steel,,Intimidate,Intimidate,115,127,FAST
Medicham,60,75,75,60,75,80,Fighting,Psychic,Pure Power,,315,127,MEDIUM_FAST
Meditite,30,45,55,40,55,60,Fighting,Psychic,Pure Power,,112,127,MEDIUM_FAST
Meganium,91,89,90,100,90,80,Grass,,Thick Fat,,1005,31,MEDIUM_SLOW
Meowth,40,45,35,40,40,90,Normal,,Super Luck,Limber,42,127,MEDIUM_FAST
Mesprit,80,110,110,110,110,80,Psychic,,Magic Guard,,3,255,SLOW
Metagross,80,135,130,100,90,70,Steel,Psychic,Clear Body,,5500,255,SLOW
Metang,60,85,100,55,80,50,Steel,Psychic,Clear Body,,2025,255,SLOW
Metapod,50,20,55,25,55,30,Bug,,Shed Skin,,99,127,MEDIUM_FAST
Mew,100,100,100,100,100,100,Psychic,,Simple,Magic Guard,40,255,MEDIUM_SLOW
Mewtwo,106,110,90,154,90,130,Psychic,,Insomnia,,1220,255,SLOW
Mightyena,70,100,70,60,70,70,Dark,,Intimidate,Intimidate,370,127,MEDIUM_FAST
Milotic,95,60,79,100,125,81,Water,,Filter,Marvel Scale,1620,127,ERRATIC
Miltank,95,90,105,40,70,100,Normal,,Scrappy,Scrappy,755,254,SLOW
Mime Jr.,20,25,45,70,90,60,Psychic,,Filter,Filter,130,127,MEDIUM_FAST
Minun,60,40,50,75,85,95,Electric,,Minus,,42,127,MEDIUM_FAST
Misdreavus,60,60,60,85,85,85,Ghost,,Levitate,,10,127,FAST
Mismagius,60,60,60,115,105,105,Ghost,,Levitate,,44,127,FAST
Moltres,90,100,90,125,105,90,Fire,Flying,Drought,Pressure,600,255,SLOW
Monferno,64,78,52,78,52,81,Fire,Fighting,Blaze,Blaze,220,31,MEDIUM_SLOW
Mothim,70,94,50,94,50,66,Bug,Flying,Tinted Lens,,233,0,MEDIUM_FAST
Mr. Mime,65,25,95,100,120,90,Psychic,,Filter,Filter,545,127,MEDIUM_FAST
Mudkip,50,55,50,50,50,40,Water,,Huge Power,Huge Power,76,31,MEDIUM_SLOW
Muk,105,105,75,65,100,50,Poison,,Aftermath,Aftermath,300,127,MEDIUM_FAST
Munchlax,135,85,40,40,85,5,Normal,,Guts,Gluttony,1050,31,SLOW
Murkrow,60,85,42,85,42,91,Dark,Flying,Super Luck,Super Luck,21,127,MEDIUM_SLOW
Natu,40,50,45,70,45,70,Psychic,Flying,Magic Guard,Magic Guard,20,127,MEDIUM_FAST
