Name,Effect,Chance
Brick Break,BATTLE_EFFECT_REMOVE_SCREENS,0
Brine,BATTLE_EFFECT_DOUBLE_POWER_WHEN_BELOW_HALF,0
Bubble,BATTLE_EFFECT_LOWER_SPEED_HIT,20
BubbleBeam,BATTLE_EFFECT_LOWER_SPEED_HIT,10
Bug Bite,BATTLE_EFFECT_EAT_BERRY,0
Bug Buzz,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Bulk Up,BATTLE_EFFECT_ATK_DEF_UP,1
Bulldoze,BATTLE_EFFECT_LOWER_SPEED_HIT,100
Bullet Punch,BATTLE_EFFECT_PRIORITY_1,0
Bullet Seed,BATTLE_EFFECT_MULTI_HIT,0
Calm Mind,BATTLE_EFFECT_SP_ATK_SP_DEF_UP,0
Camouflage,BATTLE_EFFECT_CAMOUFLAGE,0
Captivate,BATTLE_EFFECT_SP_ATK_DOWN_2_OPPOSITE_GENDER,0
Charge,BATTLE_EFFECT_SP_DEF_UP_DOUBLE_ELECTRIC_POWER,0
Charge Beam,BATTLE_EFFECT_RAISE_SP_ATK_HIT,100
Charm,BATTLE_EFFECT_ATK_DOWN_2,0
Chatter,BATTLE_EFFECT_CHATTER,50
Clamp,BATTLE_EFFECT_WHIRLPOOL,0
Close Combat,BATTLE_EFFECT_LOWER_OWN_ATK_AND_DEF,0
Confuse Ray,BATTLE_EFFECT_STATUS_CONFUSE,0
Confusion,BATTLE_EFFECT_CONFUSE_HIT,30
Constrict,BATTLE_EFFECT_HIT,0
Conversion 2,BATTLE_EFFECT_CONVERSION2,0
Copycat,BATTLE_EFFECT_USE_LAST_USED_MOVE,0
Cosmic Power,BATTLE_EFFECT_DEF_SPD_UP,0
Cotton Spore,BATTLE_EFFECT_SPEED_DOWN_2,0
Counter,BATTLE_EFFECT_COUNTER,0
Crabhammer,BATTLE_EFFECT_HIGH_CRITICAL,0
Cross Chop,BATTLE_EFFECT_HIGH_CRITICAL,0
Cross Poison,BATTLE_EFFECT_HIGH_CRITICAL_POISON_HIT,20
Crunch,BATTLE_EFFECT_LOWER_DEFENSE_HIT,20
Crush Claw,BATTLE_EFFECT_LOWER_DEFENSE_HIT,50
Crush Grip,BATTLE_EFFECT_WHIRLPOOL,0
Curse,BATTLE_EFFECT_CURSE,0
Cut,BATTLE_EFFECT_HIT,0
Dark Pulse,BATTLE_EFFECT_FLINCH_HIT,20
Dark Void,BATTLE_EFFECT_STATUS_SLEEP,0
Defend Order,BATTLE_EFFECT_DEF_SPD_UP,0
Defog,BATTLE_EFFECT_REMOVE_HAZARDS_SCREENS_EVA_DOWN,0
Destiny Bond,BATTLE_EFFECT_KO_MON_THAT_DEFEATED_USER,0
Detect,BATTLE_EFFECT_PROTECT,0
Dig,BATTLE_EFFECT_HIT,0
Disable,BATTLE_EFFECT_DISABLE,0
Discharge,BATTLE_EFFECT_PARALYZE_HIT,30
Dive,BATTLE_EFFECT_HIT,0
Dizzy Punch,BATTLE_EFFECT_CONFUSE_HIT,50
Doom Desire,BATTLE_EFFECT_HIT_IN_3_TURNS,0
Double Hit,BATTLE_EFFECT_HIT_TWICE,0
Double Kick,BATTLE_EFFECT_HIT_TWICE,0
DoubleSlap,BATTLE_EFFECT_HIT_TWICE,0
Double Team,BATTLE_EFFECT_EVA_UP,0
Double-Edge,BATTLE_EFFECT_RECOIL_THIRD,0
Draco Meteor,BATTLE_EFFECT_RECOIL_QUARTER,0
DragonBreath,BATTLE_EFFECT_PARALYZE_HIT,30
Dragon Claw,BATTLE_EFFECT_HIGH_CRITICAL,0
Dragon Dance,BATTLE_EFFECT_ATK_SPD_UP,0
Dragon Pulse,BATTLE_EFFECT_BYPASS_ACCURACY,0
Dragon Rage,BATTLE_EFFECT_40_DAMAGE_FLAT,0
Dragon Rush,BATTLE_EFFECT_FLINCH_HIT,30
Drain Punch,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Dream Eater,BATTLE_EFFECT_RECOVER_DAMAGE_SLEEP,0
Drill Peck,BATTLE_EFFECT_HIGH_CRITICAL,0
Drill Run,BATTLE_EFFECT_HIGH_CRITICAL,0
DynamicPunch,BATTLE_EFFECT_CONFUSE_HIT,100
Earth Power,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Earthquake,BATTLE_EFFECT_DOUBLE_DAMAGE_DIG,0
Egg Bomb,BATTLE_EFFECT_HIT,0
Embargo,BATTLE_EFFECT_PREVENT_ITEM_USE,0
Ember,BATTLE_EFFECT_BURN_HIT,10
Encore,BATTLE_EFFECT_ENCORE,0
Endeavor,BATTLE_EFFECT_SET_HP_EQUAL_TO_USER,0
Endure,BATTLE_EFFECT_SURVIVE_WITH_1_HP,0
Energy Ball,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Eruption,BATTLE_EFFECT_RECOIL_BURN_HIT,20
Explosion,BATTLE_EFFECT_HALVE_DEFENSE,0
Extrasensory,BATTLE_EFFECT_FLINCH_HIT,10
ExtremeSpeed,BATTLE_EFFECT_HIT,0
Facade,BATTLE_EFFECT_DOUBLE_POWER_WHEN_STATUSED,0
Fake Out,BATTLE_EFFECT_ALWAYS_FLINCH_FIRST_TURN_ONLY,100
Fake Tears,BATTLE_EFFECT_SPEED_DOWN_2,0
False Swipe,BATTLE_EFFECT_LEAVE_WITH_1_HP,0
FeatherDance,BATTLE_EFFECT_ATK_DOWN_2,0
Feint,BATTLE_EFFECT_REMOVE_PROTECT,0
Faint Attack,BATTLE_EFFECT_BYPASS_ACCURACY,0
Fire Ball,BATTLE_EFFECT_HIT,0
Fire Blast,BATTLE_EFFECT_BURN_HIT,10
Fire Fang,BATTLE_EFFECT_FLINCH_BURN_HIT,10
Fire Punch,BATTLE_EFFECT_BURN_HIT,10
Fire Spin,BATTLE_EFFECT_WHIRLPOOL,0
Fissure,BATTLE_EFFECT_ONE_HIT_KO,0
Flail,BATTLE_EFFECT_INCREASE_POWER_WITH_LESS_HP,0
Flame Wheel,BATTLE_EFFECT_THAW_AND_BURN_HIT,10
Flamethrower,BATTLE_EFFECT_BURN_HIT,10
Flare Blitz,BATTLE_EFFECT_RECOIL_BURN_HIT,10
Flash,BATTLE_EFFECT_ACC_DOWN,0
Flash Cannon,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Flatter,BATTLE_EFFECT_SP_ATK_UP_CAUSE_CONFUSION,0
Fling,BATTLE_EFFECT_FLING,0
Fly,BATTLE_EFFECT_FLY,0
Focus Blast,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Focus Energy,BATTLE_EFFECT_CRIT_UP_2,0
Focus Punch,BATTLE_EFFECT_HIT_LAST_WHIFF_IF_HIT,0
Follow Me,BATTLE_EFFECT_MAKE_GLOBAL_TARGET,0
Force Palm,BATTLE_EFFECT_PARALYZE_HIT,30
Foresight,BATTLE_EFFECT_FORESIGHT,0
Frenzy Plant,BATTLE_EFFECT_RECOIL_PARALYZE_HIT,20
Frustration,BATTLE_EFFECT_HIT,0
Fury Attack,BATTLE_EFFECT_MULTI_HIT,0
Fury Cutter,BATTLE_EFFECT_RANDOM_DAMAGE_1_TO_150_LEVEL,0
Fury Swipes,BATTLE_EFFECT_MULTI_HIT,0
Future Sight,BATTLE_EFFECT_HIT_IN_3_TURNS,0
Gastro Acid,BATTLE_EFFECT_SUPRESS_ABILITY,0
Giga Drain,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Giga Impact,BATTLE_EFFECT_RECOIL_QUARTER,0
Glare,BATTLE_EFFECT_STATUS_PARALYZE,0
Grass Knot,BATTLE_EFFECT_INCREASE_POWER_WITH_WEIGHT,0
GrassWhistle,BATTLE_EFFECT_STATUS_SLEEP,0
Gravity,BATTLE_EFFECT_GRAVITY,0
Growl,BATTLE_EFFECT_ATK_DOWN,0
Growth,BATTLE_EFFECT_SP_ATK_UP,0
Grudge,BATTLE_EFFECT_REMOVE_ALL_PP_ON_DEFEAT,0
Guard Swap,BATTLE_EFFECT_SWAP_DEF_SP_DEF_STAT_CHANGES,0
Guillotine,BATTLE_EFFECT_ONE_HIT_KO,0
Gunk Shot,BATTLE_EFFECT_POISON_HIT,30
Gust,BATTLE_EFFECT_DOUBLE_DAMAGE_FLY_OR_BOUNCE,0
Gyro Ball,BATTLE_EFFECT_POWER_BASED_ON_LOW_SPEED,0
HP Dark,BATTLE_EFFECT_HIT,0
HP Electric,BATTLE_EFFECT_HIT,0
HP Fighting,BATTLE_EFFECT_HIT,0
HP Fire,BATTLE_EFFECT_HIT,0
HP Flying,BATTLE_EFFECT_HIT,0
HP Ghost,BATTLE_EFFECT_HIT,0
HP Grass,BATTLE_EFFECT_HIT,0
HP Ground,BATTLE_EFFECT_HIT,0
HP Ice,BATTLE_EFFECT_HIT,0
HP Psychic,BATTLE_EFFECT_HIT,0
HP Rock,BATTLE_EFFECT_HIT,0
HP Water,BATTLE_EFFECT_HIT,0
Hail,BATTLE_EFFECT_WEATHER_HAIL,0
Hail Ball,BATTLE_EFFECT_HIT,0
Hammer Arm,BATTLE_EFFECT_SPEED_DOWN_HIT,0
Harden,BATTLE_EFFECT_DEF_UP,0
Haze,BATTLE_EFFECT_RESET_STAT_CHANGES,0
Head Smash,BATTLE_EFFECT_RECOIL_HALF,0
Headbutt,BATTLE_EFFECT_FLINCH_HIT,30
Heal Bell,BATTLE_EFFECT_CURE_PARTY_STATUS,0
Heal Order,BATTLE_EFFECT_RESTORE_HALF_HP,0
Heart Swap,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Heat Wave,BATTLE_EFFECT_BURN_HIT,10
Helping Hand,BATTLE_EFFECT_BOOST_ALLY_POWER_BY_50_PERCENT,0
Hidden Power,BATTLE_EFFECT_RANDOM_POWER_BASED_ON_IVS,0
Hi Jump Kick,BATTLE_EFFECT_CRASH_ON_MISS,0
Horn Drill,BATTLE_EFFECT_ONE_HIT_KO,0
Howl,BATTLE_EFFECT_ATK_UP,0
Hurricane,BATTLE_EFFECT_UNUSED_141,10
Hydro Cannon,BATTLE_EFFECT_RECOIL_THIRD,0
Hydro Pump,BATTLE_EFFECT_HIT,0
Hyper Beam,BATTLE_EFFECT_RECOIL_QUARTER,0
Hyper Fang,BATTLE_EFFECT_FLINCH_HIT,30
Hyper Voice,BATTLE_EFFECT_HIT,0
Hypnosis,BATTLE_EFFECT_STATUS_SLEEP,0
Ice Ball,BATTLE_EFFECT_BLIZZARD,0
Ice Beam,BATTLE_EFFECT_FREEZE_HIT,10
Ice Fang,BATTLE_EFFECT_FLINCH_FREEZE_HIT,10
Ice Punch,BATTLE_EFFECT_FREEZE_HIT,10
Ice Shard,BATTLE_EFFECT_PRIORITY_1,0
Icicle Spear,BATTLE_EFFECT_MULTI_HIT,0
Icy Wind,BATTLE_EFFECT_LOWER_SPEED_HIT,100
Imprison,BATTLE_EFFECT_MAKE_SHARED_MOVES_UNUSEABLE,0
Ingrain,BATTLE_EFFECT_GROUND_TRAP_USER_CONTINUOUS_HEAL,0
Iron Defense,BATTLE_EFFECT_DEF_UP_2,0
Iron Head,BATTLE_EFFECT_FLINCH_HIT,30
Iron Tail,BATTLE_EFFECT_LOWER_DEFENSE_HIT,30
Judgment,BATTLE_EFFECT_JUDGEMENT,0
Jump Kick,BATTLE_EFFECT_CRASH_ON_MISS,0
Karate Chop,BATTLE_EFFECT_HIGH_CRITICAL,0
Kinesis,BATTLE_EFFECT_SP_DEF_DOWN_2,0
Knock Off,BATTLE_EFFECT_REMOVE_HELD_ITEM,0
Last Resort,BATTLE_EFFECT_FAIL_IF_NOT_USED_ALL_OTHER_MOVES,0
Lava Plume,BATTLE_EFFECT_BURN_HIT,30
Leaf Blade,BATTLE_EFFECT_HIGH_CRITICAL,0
Leaf Storm,BATTLE_EFFECT_HIT,100
Leech Life,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Leech Seed,BATTLE_EFFECT_STATUS_LEECH_SEED,0
Leer,BATTLE_EFFECT_DEF_DOWN,0
Lick,BATTLE_EFFECT_PARALYZE_HIT,30
Light Screen,BATTLE_EFFECT_SET_LIGHT_SCREEN,0
Lock-On,BATTLE_EFFECT_NEXT_ATTACK_ALWAYS_HITS,0
Lovely Kiss,BATTLE_EFFECT_STATUS_SLEEP,0
Low Kick,BATTLE_EFFECT_INCREASE_POWER_WITH_WEIGHT,0
Lucky Chant,BATTLE_EFFECT_PREVENT_CRITS,0
Lunar Dance,BATTLE_EFFECT_RESTORE_HALF_HP,0
Luster Purge,BATTLE_EFFECT_LOWER_SP_DEF_HIT,50
Mach Punch,BATTLE_EFFECT_PRIORITY_1,0
Magic Coat,BATTLE_EFFECT_APPLY_MAGIC_COAT,0
Magical Leaf,BATTLE_EFFECT_BYPASS_ACCURACY,0
Magma Storm,BATTLE_EFFECT_WHIRLPOOL,0
Magnet Bomb,BATTLE_EFFECT_BYPASS_ACCURACY,0
Magnet Rise,BATTLE_EFFECT_GIVE_GROUND_IMMUNITY,0
Me First,BATTLE_EFFECT_USE_MOVE_FIRST,0
Mean Look,BATTLE_EFFECT_PREVENT_ESCAPE,0
Meditate,BATTLE_EFFECT_ATK_UP,0
Mega Drain,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Mega Kick,BATTLE_EFFECT_HIT,0
Mega Punch,BATTLE_EFFECT_HIT,0
Megahorn,BATTLE_EFFECT_HIGH_CRITICAL,0
Memento,BATTLE_EFFECT_HALVE_DEFENSE,0
Metal Burst,BATTLE_EFFECT_METAL_BURST,0
Metal Claw,BATTLE_EFFECT_RAISE_ATTACK_HIT,10
Metal Sound,BATTLE_EFFECT_SPEED_DOWN_2,0
Meteor Mash,BATTLE_EFFECT_RAISE_ATTACK_HIT,20
Metronome,BATTLE_EFFECT_CALL_RANDOM_MOVE,0
Milk Drink,BATTLE_EFFECT_RESTORE_HALF_HP,0
Mimic,BATTLE_EFFECT_COPY_MOVE_FOR_BATTLE,0
Mind Reader,BATTLE_EFFECT_NEXT_ATTACK_ALWAYS_HITS,0
Minimize,BATTLE_EFFECT_EVA_UP_2_MINIMIZE,0
Miracle Eye,BATTLE_EFFECT_IGNORE_EVATION_REMOVE_DARK_IMMUNE,0
Mirror Coat,BATTLE_EFFECT_MIRROR_COAT,0
Mirror Move,BATTLE_EFFECT_COPY_MOVE,0
Mirror Shot,BATTLE_EFFECT_LOWER_ACCURACY_HIT,30
Mist,BATTLE_EFFECT_PREVENT_STAT_REDUCTION,0
Mist Ball,BATTLE_EFFECT_LOWER_SP_ATK_HIT,50
Moonlight,BATTLE_EFFECT_HEAL_HALF_MORE_IN_SUN,0
Morning Sun,BATTLE_EFFECT_HEAL_HALF_MORE_IN_SUN,0
Mud Bomb,BATTLE_EFFECT_LOWER_ACCURACY_HIT,30
Mud Shot,BATTLE_EFFECT_LOWER_SPEED_HIT,100
Mud-Slap,BATTLE_EFFECT_LOWER_ACCURACY_HIT,100
Muddy Water,BATTLE_EFFECT_LOWER_ACCURACY_HIT,30
Mystical Fire,BATTLE_EFFECT_LOWER_SP_ATK_HIT,100
Nasty Plot,BATTLE_EFFECT_SP_ATK_UP_2,0
Natural Gift,BATTLE_EFFECT_NATURAL_GIFT,0
Nature Power,BATTLE_EFFECT_NATURE_POWER,0
Needle Arm,BATTLE_EFFECT_HIT,30
Night Shade,BATTLE_EFFECT_LEVEL_DAMAGE_FLAT,0
Night Slash,BATTLE_EFFECT_HIGH_CRITICAL,0
Octazooka,BATTLE_EFFECT_LOWER_ACCURACY_HIT,50
Odor Sleuth,BATTLE_EFFECT_FORESIGHT,0
Ominous Wind,BATTLE_EFFECT_RAISE_ALL_STATS_HIT,10
Outrage,BATTLE_EFFECT_RECOIL_HALF,0
Overheat,BATTLE_EFFECT_RECOIL_BURN_HIT,10
Pain Split,BATTLE_EFFECT_AVERAGE_HP,0
Pay Day,BATTLE_EFFECT_INCREASE_PRIZE_MONEY,0
Payback,BATTLE_EFFECT_DOUBLE_POWER_IF_MOVING_SECOND,0
Peck,BATTLE_EFFECT_HIT,0
Perish Song,BATTLE_EFFECT_ALL_FAINT_3_TURNS,0
Petal Dance,BATTLE_EFFECT_CONFUSE_HIT,20
Pin Missile,BATTLE_EFFECT_MULTI_HIT,0
Pluck,BATTLE_EFFECT_EAT_BERRY,0
Poison Fang,BATTLE_EFFECT_BADLY_POISON_HIT,40
Poison Gas,BATTLE_EFFECT_STATUS_BADLY_POISON,0
Poison Jab,BATTLE_EFFECT_POISON_HIT,30
PoisonPowder,BATTLE_EFFECT_STATUS_POISON,0
Poison Sting,BATTLE_EFFECT_POISON_HIT,30
Poison Tail,BATTLE_EFFECT_HIGH_CRITICAL_POISON_HIT,10
Pound,BATTLE_EFFECT_HIT,0
Powder Snow,BATTLE_EFFECT_FREEZE_HIT,10
Power Gem,BATTLE_EFFECT_HIT,0
Power Swap,BATTLE_EFFECT_SWAP_ATK_SP_ATK_STAT_CHANGES,0
Power Trick,BATTLE_EFFECT_SWAP_ATK_DEF,0
Power Whip,BATTLE_EFFECT_HIGH_CRITICAL,0
Present,BATTLE_EFFECT_RANDOM_POWER_MAYBE_HEAL,0
Protect,BATTLE_EFFECT_PROTECT,0
Psybeam,BATTLE_EFFECT_CONFUSE_HIT,10
Psych Up,BATTLE_EFFECT_COPY_STAT_CHANGES,0
Psychic,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Psycho Boost,BATTLE_EFFECT_HIT,100
Psycho Cut,BATTLE_EFFECT_HIGH_CRITICAL,0
Psycho Shift,BATTLE_EFFECT_TRANSFER_STATUS,0
Punishment,BATTLE_EFFECT_INCREASE_POWER_WITH_MORE_STAT_UP,0
Pursuit,BATTLE_EFFECT_HIT_BEFORE_SWITCH,0
Quick Attack,BATTLE_EFFECT_PRIORITY_1,0
Rage,BATTLE_EFFECT_HIT_BEFORE_SWITCH,0
Rain Dance,BATTLE_EFFECT_WEATHER_RAIN,0
Razor Leaf,BATTLE_EFFECT_HIGH_CRITICAL,0
Razor Wind,BATTLE_EFFECT_CHARGE_TURN_HIGH_CRIT,0
Recover,BATTLE_EFFECT_RESTORE_HALF_HP,0
Recycle,BATTLE_EFFECT_RECYCLE,0
Reflect,BATTLE_EFFECT_SET_REFLECT,0
Refresh,BATTLE_EFFECT_HEAL_STATUS,0
Rest,BATTLE_EFFECT_REST,0
Return,BATTLE_EFFECT_HIT,0
Revenge,BATTLE_EFFECT_DOUBLE_POWER_IF_MOVING_SECOND,0
Reversal,BATTLE_EFFECT_INCREASE_POWER_WITH_LESS_HP,0
Roar,BATTLE_EFFECT_FORCE_SWITCH,0
Roar of Time,BATTLE_EFFECT_RECHARGE_AFTER,10
Rock Ball,BATTLE_EFFECT_HIT,0
Rock Blast,BATTLE_EFFECT_MULTI_HIT,0
Rock Climb,BATTLE_EFFECT_CONFUSE_HIT,30
Rock Polish,BATTLE_EFFECT_SPEED_UP_2,0
Rock Slide,BATTLE_EFFECT_FLINCH_HIT,30
Rock Smash,BATTLE_EFFECT_LOWER_DEFENSE_HIT,50
Rock Throw,BATTLE_EFFECT_HIT,0
Rock Tomb,BATTLE_EFFECT_LOWER_SPEED_HIT,100
Rock Wrecker,BATTLE_EFFECT_HIT_THREE_TIMES,0
Role Play,BATTLE_EFFECT_COPY_ABILITY,0
Rolling Kick,BATTLE_EFFECT_FLINCH_HIT,30
Accelerock,BATTLE_EFFECT_HIT,0
Roost,BATTLE_EFFECT_HEAL_HALF_REMOVE_FLYING_TYPE,0
Sacred Fire,BATTLE_EFFECT_THAW_AND_BURN_HIT,50
Safeguard,BATTLE_EFFECT_PREVENT_STATUS,0
Sand-Attack,BATTLE_EFFECT_ACC_DOWN,0
Sand Tomb,BATTLE_EFFECT_WHIRLPOOL,0
Sandstorm,BATTLE_EFFECT_WEATHER_SANDSTORM,0
Scald,BATTLE_EFFECT_THAW_AND_BURN_HIT,30
Scary Face,BATTLE_EFFECT_SPEED_DOWN_2,0
Scratch,BATTLE_EFFECT_HIT,0
Screech,BATTLE_EFFECT_DEF_DOWN_2,0
Secret Power,BATTLE_EFFECT_SECRET_POWER,30
Seed Bomb,BATTLE_EFFECT_HIT,100
Seed Flare,BATTLE_EFFECT_LOWER_SP_DEF_2_HIT,50
Seismic Toss,BATTLE_EFFECT_LEVEL_DAMAGE_FLAT,0
Selfdestruct,BATTLE_EFFECT_HALVE_DEFENSE,0
Shadow Ball,BATTLE_EFFECT_LOWER_SP_DEF_HIT,20
Shadow Claw,BATTLE_EFFECT_MULTI_HIT,0
Shadow Force,BATTLE_EFFECT_SHADOW_FORCE,0
Shadow Punch,BATTLE_EFFECT_BYPASS_ACCURACY,0
Shadow Sneak,BATTLE_EFFECT_PRIORITY_1,0
Sharpen,BATTLE_EFFECT_ATK_UP,0
Sheer Cold,BATTLE_EFFECT_BLIZZARD,100
Shock Wave,BATTLE_EFFECT_BYPASS_ACCURACY,0
Signal Beam,BATTLE_EFFECT_CONFUSE_HIT,10
Silver Wind,BATTLE_EFFECT_RAISE_ALL_STATS_HIT,10
Sing,BATTLE_EFFECT_STATUS_SLEEP,0
Sketch,BATTLE_EFFECT_LEARN_MOVE_PERMANENT,0
Skill Swap,BATTLE_EFFECT_SWITCH_ABILITIES,0
Sky Attack,BATTLE_EFFECT_RECOIL_PARALYZE_HIT,20
Sky Uppercut,BATTLE_EFFECT_DOUBLE_DAMAGE_FLY_OR_BOUNCE,0
Slack Off,BATTLE_EFFECT_RESTORE_HALF_HP,0
Slam,BATTLE_EFFECT_PARALYZE_HIT,30
Slash,BATTLE_EFFECT_HIGH_CRITICAL,0
Sleep Powder,BATTLE_EFFECT_STATUS_SLEEP,0
Sleep Talk,BATTLE_EFFECT_USE_RANDOM_LEARNED_MOVE_SLEEP,0
Sludge,BATTLE_EFFECT_POISON_HIT,30
Sludge Bomb,BATTLE_EFFECT_POISON_HIT,30
SmellingSalt,BATTLE_EFFECT_DOUBLE_POWER_AND_CURE_PARALYSIS,0
Smog,BATTLE_EFFECT_POISON_HIT,50
SmokeScreen,BATTLE_EFFECT_ACC_DOWN,0
Snore,BATTLE_EFFECT_DAMAGE_WHILE_ASLEEP,30
Softboiled,BATTLE_EFFECT_RESTORE_HALF_HP,0
SolarBeam,BATTLE_EFFECT_SKIP_CHARGE_TURN_IN_SUN,0
Solar-Beam,BATTLE_EFFECT_HIT,0
SonicBoom,BATTLE_EFFECT_20_DAMAGE_FLAT,0
Spacial Rend,BATTLE_EFFECT_HIGH_CRITICAL,0
Spider Web,BATTLE_EFFECT_PREVENT_ESCAPE,0
Spikes,BATTLE_EFFECT_SET_SPIKES,0
Spite,BATTLE_EFFECT_DECREASE_LAST_MOVE_PP,0
Spore,BATTLE_EFFECT_STATUS_SLEEP,0
Stealth Rock,BATTLE_EFFECT_STEALTH_ROCK,0
Steel Wing,BATTLE_EFFECT_RAISE_DEF_HIT,10
Stockpile,BATTLE_EFFECT_DEF_SPD_UP,0
Stomp,BATTLE_EFFECT_FLINCH_MINIMIZE_DOUBLE_HIT,30
Stone Edge,BATTLE_EFFECT_HIGH_CRITICAL,0
Strength,BATTLE_EFFECT_HIT,0
String Shot,BATTLE_EFFECT_SPEED_DOWN,0
Stun Spore,BATTLE_EFFECT_STATUS_PARALYZE,0
Submission,BATTLE_EFFECT_WHIRLPOOL,0
Substitute,BATTLE_EFFECT_SET_SUBSTITUTE,0
Sucker Punch,BATTLE_EFFECT_HIT,0
Sunny Day,BATTLE_EFFECT_WEATHER_SUN,0
Super Fang,BATTLE_EFFECT_HALVE_HP,0
Superpower,BATTLE_EFFECT_RECOIL_QUARTER,0
Supersonic,BATTLE_EFFECT_STATUS_CONFUSE,0
Surf,BATTLE_EFFECT_DOUBLE_DAMAGE_DIVE,0
Swagger,BATTLE_EFFECT_ATK_UP_2_STATUS_CONFUSION,0
Swallow,BATTLE_EFFECT_WHIRLPOOL,0
Sweet Kiss,BATTLE_EFFECT_STATUS_CONFUSE,0
Sweet Scent,BATTLE_EFFECT_EVA_DOWN,0
Swift,BATTLE_EFFECT_BYPASS_ACCURACY,0
Swords Dance,BATTLE_EFFECT_ATK_UP_2,0
Synthesis,BATTLE_EFFECT_HEAL_HALF_MORE_IN_SUN,0
Tackle,BATTLE_EFFECT_HIT,0
Tail Glow,BATTLE_EFFECT_SP_ATK_UP_2,0
Tail Whip,BATTLE_EFFECT_DEF_DOWN,0
Tailwind,BATTLE_EFFECT_DOUBLE_SPEED_3_TURNS,0
Take Down,BATTLE_EFFECT_RECOIL_QUARTER,0
Teeter Dance,BATTLE_EFFECT_STATUS_CONFUSE,0
Teleport,BATTLE_EFFECT_FLEE_FROM_WILD_BATTLE,0
Thief,BATTLE_EFFECT_DO_NOTHING,0
Thrash,BATTLE_EFFECT_RECOIL_PARALYZE_HIT,20
Thunder,BATTLE_EFFECT_THUNDER,30
Thunder Fang,BATTLE_EFFECT_FLINCH_PARALYZE_HIT,10
ThunderPunch,BATTLE_EFFECT_PARALYZE_HIT,10
ThunderShock,BATTLE_EFFECT_PARALYZE_HIT,10
Thunder Wave,BATTLE_EFFECT_STATUS_PARALYZE,0
