Name,Hold Effect,Effect Param,Natural Gift Power,Natural Gift Type,Fling Power,Fling Effect
Good Rod,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Gooey Mulch,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Gracidea,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Grass Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Great Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Green Scarf,HOLD_EFFECT_NONE,0,0,,10,FLING_EFFECT_NONE
Green Shard,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Grepa Berry,HOLD_EFFECT_NONE,0,70,Flying,10,FLING_EFFECT_NONE
Grip Claw,HOLD_EFFECT_EXTEND_TRAPPING,0,0,,90,FLING_EFFECT_NONE
Griseous Orb,HOLD_EFFECT_GIRATINA_BOOST,20,0,,60,FLING_EFFECT_NONE
Growth Mulch,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Guard Spec.,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Haban Berry,HOLD_EFFECT_WEAKEN_SE_DRAGON,0,60,Dragon,10,FLING_EFFECT_NONE
Hard Stone,HOLD_EFFECT_STRENGTHEN_ROCK,20,0,,100,FLING_EFFECT_NONE
Heal Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Heal Powder,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Heart Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Heart Scale,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Heat Rock,HOLD_EFFECT_EXTEND_SUN,3,0,,60,FLING_EFFECT_NONE
Helix Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
HM01,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM02,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM03,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM04,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM05,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM06,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM07,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
HM08,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Hondew Berry,HOLD_EFFECT_NONE,0,70,Ground,10,FLING_EFFECT_NONE
Honey,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
HP Up,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Hyper Potion,HOLD_EFFECT_NONE,200,0,,30,FLING_EFFECT_NONE
Iapapa Berry,HOLD_EFFECT_HP_RESTORE_SOUR,8,60,Dark,10,FLING_EFFECT_HP_RESTORE_SOUR
Ice Heal,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Icicle Plate,HOLD_EFFECT_ARCEUS_ICE,20,0,,90,FLING_EFFECT_NONE
Icy Rock,HOLD_EFFECT_EXTEND_HAIL,3,0,,40,FLING_EFFECT_NONE
Insect Plate,HOLD_EFFECT_ARCEUS_BUG,20,0,,90,FLING_EFFECT_NONE
Iron,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Iron Ball,HOLD_EFFECT_SPEED_DOWN_GROUNDED,0,0,,130,FLING_EFFECT_NONE
Iron Plate,HOLD_EFFECT_ARCEUS_STEEL,20,0,,90,FLING_EFFECT_NONE
Jaboca Berry,HOLD_EFFECT_RECOIL_PHYSICAL,8,80,Dragon,10,FLING_EFFECT_NONE
Journal,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Kasib Berry,HOLD_EFFECT_WEAKEN_SE_GHOST,0,60,Ghost,10,FLING_EFFECT_NONE
Kebia Berry,HOLD_EFFECT_WEAKEN_SE_POISON,0,60,Poison,10,FLING_EFFECT_NONE
Kelpsy Berry,HOLD_EFFECT_NONE,0,70,Fighting,10,FLING_EFFECT_NONE
King’s Rock,HOLD_EFFECT_SOMETIMES_FLINCH,10,0,,30,FLING_EFFECT_FLINCH
Lagging Tail,HOLD_EFFECT_PRIORITY_DOWN,0,0,,10,FLING_EFFECT_NONE
Lansat Berry,HOLD_EFFECT_PINCH_CRITRATE_UP,4,80,Flying,10,FLING_EFFECT_CRIT_UP
Lava Cookie,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Lax Incense,HOLD_EFFECT_ACC_REDUCE,10,0,,10,FLING_EFFECT_NONE
Leaf Stone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Leftovers,HOLD_EFFECT_HP_RESTORE_GRADUAL,10,0,,10,FLING_EFFECT_NONE
Lemonade,HOLD_EFFECT_NONE,80,0,,30,FLING_EFFECT_NONE
Leppa Berry,HOLD_EFFECT_PP_RESTORE,10,60,Fighting,10,FLING_EFFECT_PP_RESTORE
Liechi Berry,HOLD_EFFECT_PINCH_ATK_UP,4,80,Grass,10,FLING_EFFECT_ATK_UP
Life Orb,HOLD_EFFECT_HP_DRAIN_ON_ATK,30,0,,30,FLING_EFFECT_NONE
Light Ball,HOLD_EFFECT_PIKA_SPATK_UP,0,0,,30,FLING_EFFECT_PARALYZE
Light Clay,HOLD_EFFECT_EXTEND_SCREENS,3,0,,30,FLING_EFFECT_NONE
Loot Sack,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Luck Incense,HOLD_EFFECT_MONEY_UP,10,0,,10,FLING_EFFECT_NONE
Lucky Egg,HOLD_EFFECT_EXP_UP,0,0,,30,FLING_EFFECT_NONE
Lucky Punch,HOLD_EFFECT_CHANSEY_CRITRATE_UP,0,0,,40,FLING_EFFECT_NONE
Lum Berry,HOLD_EFFECT_STATUS_RESTORE,0,60,Flying,10,FLING_EFFECT_ALL_RESTORE
Lunar Wing,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Lustrous Orb,HOLD_EFFECT_PALKIA_BOOST,20,0,,60,FLING_EFFECT_NONE
Luxury Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Macho Brace,HOLD_EFFECT_EVS_UP_SPEED_DOWN,0,0,,60,FLING_EFFECT_NONE
Magma Stone,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Magmarizer,HOLD_EFFECT_EVOLVE_MAGMAR,0,0,,80,FLING_EFFECT_NONE
Magnet,HOLD_EFFECT_STRENGTHEN_ELECTRIC,20,0,,30,FLING_EFFECT_NONE
Mago Berry,HOLD_EFFECT_HP_RESTORE_SWEET,8,60,Ghost,10,FLING_EFFECT_HP_RESTORE_SWEET
Magost Berry,HOLD_EFFECT_NONE,0,70,Rock,10,FLING_EFFECT_NONE
Master Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Max Elixir,HOLD_EFFECT_NONE,255,0,,30,FLING_EFFECT_NONE
Max Ether,HOLD_EFFECT_NONE,255,0,,30,FLING_EFFECT_NONE
Max Potion,HOLD_EFFECT_NONE,255,0,,30,FLING_EFFECT_NONE
Max Repel,HOLD_EFFECT_NONE,250,0,,30,FLING_EFFECT_NONE
Max Revive,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Meadow Plate,HOLD_EFFECT_ARCEUS_GRASS,20,0,,90,FLING_EFFECT_NONE
Member Card,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Mental Herb,HOLD_EFFECT_HEAL_INFATUATION,0,0,,10,FLING_EFFECT_HEAL_INFATUATION
Metal Coat,HOLD_EFFECT_STRENGTHEN_STEEL,20,0,,30,FLING_EFFECT_NONE
Metal Powder,HOLD_EFFECT_DITTO_DEF_UP,0,0,,10,FLING_EFFECT_NONE
Metronome,HOLD_EFFECT_BOOST_REPEATED,10,0,,30,FLING_EFFECT_NONE
Micle Berry,HOLD_EFFECT_PINCH_ACC_UP,4,80,Rock,10,FLING_EFFECT_TEMP_ACC_UP
Mind Plate,HOLD_EFFECT_ARCEUS_PSYCHIC,20,0,,90,FLING_EFFECT_NONE
Miracle Seed,HOLD_EFFECT_STRENGTHEN_GRASS,20,0,,30,FLING_EFFECT_NONE
Moomoo Milk,HOLD_EFFECT_NONE,100,0,,30,FLING_EFFECT_NONE
Moon Stone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Mosaic Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Muscle Band,HOLD_EFFECT_POWER_UP_PHYS,10,0,,10,FLING_EFFECT_NONE
Mystic Water,HOLD_EFFECT_STRENGTHEN_WATER,20,0,,30,FLING_EFFECT_NONE
Nanab Berry,HOLD_EFFECT_NONE,0,70,Water,10,FLING_EFFECT_NONE
Nest Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Net Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
NeverMeltIce,HOLD_EFFECT_STRENGTHEN_ICE,20,0,,30,FLING_EFFECT_NONE
Nomel Berry,HOLD_EFFECT_NONE,0,70,Dragon,10,FLING_EFFECT_NONE
None,HOLD_EFFECT_NONE,0,0,Normal,0,FLING_EFFECT_NONE
Nugget,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Oak’s Letter,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Occa Berry,HOLD_EFFECT_WEAKEN_SE_FIRE,0,60,Fire,10,FLING_EFFECT_NONE
Odd Incense,HOLD_EFFECT_STRENGTHEN_PSYCHIC,20,0,,10,FLING_EFFECT_NONE
Odd Keystone,HOLD_EFFECT_NONE,0,0,,80,FLING_EFFECT_NONE
Old Amber,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Old Charm,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Old Gateau,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Old Rod,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Oran Berry,HOLD_EFFECT_HP_RESTORE,10,60,Poison,10,FLING_EFFECT_HP_RESTORE
Oval Stone,HOLD_EFFECT_NONE,0,0,,80,FLING_EFFECT_NONE
Pal Pad,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Pamtre Berry,HOLD_EFFECT_NONE,0,70,Steel,10,FLING_EFFECT_NONE
Parcel,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Parlyz Heal,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Passho Berry,HOLD_EFFECT_WEAKEN_SE_WATER,0,60,Water,10,FLING_EFFECT_NONE
Payapa Berry,HOLD_EFFECT_WEAKEN_SE_PSYCHIC,0,60,Psychic,10,FLING_EFFECT_NONE
Pearl,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Pecha Berry,HOLD_EFFECT_PSN_RESTORE,0,60,Electric,10,FLING_EFFECT_PSN_RESTORE
Persim Berry,HOLD_EFFECT_CONFUSE_RESTORE,0,60,Ground,10,FLING_EFFECT_CNF_RESTORE
Petaya Berry,HOLD_EFFECT_PINCH_SPATK_UP,4,80,Poison,10,FLING_EFFECT_SPATK_UP
Pinap Berry,HOLD_EFFECT_NONE,0,70,Grass,10,FLING_EFFECT_NONE
Pink Scarf,HOLD_EFFECT_NONE,0,0,,10,FLING_EFFECT_NONE
Poffin Case,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Point Card,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Poison Barb,HOLD_EFFECT_STRENGTHEN_POISON,20,0,,70,FLING_EFFECT_POISON
Poké Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Poké Doll,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Poké Radar,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Pomeg Berry,HOLD_EFFECT_NONE,0,70,Ice,10,FLING_EFFECT_NONE
Potion,HOLD_EFFECT_NONE,20,0,,30,FLING_EFFECT_NONE
Power Anklet,HOLD_EFFECT_LVLUP_SPEED_EV_UP,4,0,,70,FLING_EFFECT_NONE
Power Band,HOLD_EFFECT_LVLUP_SPDEF_EV_UP,4,0,,70,FLING_EFFECT_NONE
Power Belt,HOLD_EFFECT_LVLUP_DEF_EV_UP,4,0,,70,FLING_EFFECT_NONE
Power Bracer,HOLD_EFFECT_LVLUP_ATK_EV_UP,4,0,,70,FLING_EFFECT_NONE
Power Herb,HOLD_EFFECT_CHARGE_SKIP,0,0,,10,FLING_EFFECT_NONE
Power Lens,HOLD_EFFECT_LVLUP_SPATK_EV_UP,4,0,,70,FLING_EFFECT_NONE
Power Weight,HOLD_EFFECT_LVLUP_HP_EV_UP,4,0,,70,FLING_EFFECT_NONE
PP Max,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
PP Up,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Premier Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Protector,HOLD_EFFECT_EVOLVE_RHYDON,0,0,,80,FLING_EFFECT_NONE
Protein,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Pure Incense,HOLD_EFFECT_ENCOUNTERS_DOWN,0,0,,10,FLING_EFFECT_NONE
Qualot Berry,HOLD_EFFECT_NONE,0,70,Poison,10,FLING_EFFECT_NONE
Quick Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Quick Claw,HOLD_EFFECT_SOMETIMES_PRIORITY,20,0,,80,FLING_EFFECT_NONE
Quick Powder,HOLD_EFFECT_DITTO_SPEED_UP,0,0,,10,FLING_EFFECT_NONE
Rabuta Berry,HOLD_EFFECT_NONE,0,70,Ghost,10,FLING_EFFECT_NONE
Rare Bone,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Rare Candy,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Rawst Berry,HOLD_EFFECT_BRN_RESTORE,0,60,Grass,10,FLING_EFFECT_BRN_RESTORE
Razor Claw,HOLD_EFFECT_CRITRATE_UP,0,0,,80,FLING_EFFECT_NONE
Razor Fang,HOLD_EFFECT_SOMETIMES_FLINCH,10,0,,30,FLING_EFFECT_FLINCH
Razz Berry,HOLD_EFFECT_NONE,0,60,Steel,10,FLING_EFFECT_NONE
Reaper Cloth,HOLD_EFFECT_EVOLVE_DUSCLOPS,0,0,,10,FLING_EFFECT_NONE
Red Chain,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Red Flute,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Red Scarf,HOLD_EFFECT_NONE,0,0,,10,FLING_EFFECT_NONE
Red Shard,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Repeat Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Repel,HOLD_EFFECT_NONE,100,0,,30,FLING_EFFECT_NONE
Revival Herb,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Revive,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Rindo Berry,HOLD_EFFECT_WEAKEN_SE_GRASS,0,60,Grass,10,FLING_EFFECT_NONE
Rock Incense,HOLD_EFFECT_STRENGTHEN_ROCK,20,0,,10,FLING_EFFECT_NONE
Root Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Rose Incense,HOLD_EFFECT_STRENGTHEN_GRASS,20,0,,10,FLING_EFFECT_NONE
Rowap Berry,HOLD_EFFECT_RECOIL_SPECIAL,8,80,Dark,10,FLING_EFFECT_NONE
Rule Book,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
S.S. Ticket,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Sacred Ash,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Safari Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Salac Berry,HOLD_EFFECT_PINCH_SPEED_UP,4,80,Fighting,10,FLING_EFFECT_SPEED_UP
Scope Lens,HOLD_EFFECT_CRITRATE_UP,0,0,,30,FLING_EFFECT_NONE
Sea Incense,HOLD_EFFECT_STRENGTHEN_WATER,20,0,,10,FLING_EFFECT_NONE
Seal Bag,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Seal Case,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Secret Key,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
SecretPotion,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Sharp Beak,HOLD_EFFECT_STRENGTHEN_FLYING,20,0,,50,FLING_EFFECT_NONE
Shed Shell,HOLD_EFFECT_SWITCH,0,0,,10,FLING_EFFECT_NONE
Shell Bell,HOLD_EFFECT_HP_RESTORE_ON_DMG,8,0,,30,FLING_EFFECT_NONE
Shiny Stone,HOLD_EFFECT_NONE,0,0,,80,FLING_EFFECT_NONE
Shoal Salt,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Shoal Shell,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Shuca Berry,HOLD_EFFECT_WEAKEN_SE_GROUND,0,60,Ground,10,FLING_EFFECT_NONE
Silk Scarf,HOLD_EFFECT_STRENGTHEN_NORMAL,20,0,,10,FLING_EFFECT_NONE
SilverPowder,HOLD_EFFECT_STRENGTHEN_BUG,20,0,,10,FLING_EFFECT_NONE
Sitrus Berry,HOLD_EFFECT_HP_PCT_RESTORE,25,60,Psychic,10,FLING_EFFECT_HP_PCT_RESTORE
Skull Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Sky Plate,HOLD_EFFECT_ARCEUS_FLYING,20,0,,90,FLING_EFFECT_NONE
